model,seq_length,features,feature_count,scaler,test_size,val_split,training_time,rmse,mae,r2,mape,units,dropout_rate,optimizer,batch_size,epochs,n_estimators,max_depth
GRU,10,Close_Volume,2,StandardScaler,0.2,0.2,8.69273853302002,4623.572977699845,3822.4891352127247,0.6020829417848875,0.04019081217203813,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,10,Close_Volume,2,RobustScaler,0.2,0.2,8.496727228164673,4689.864346543588,3888.5554323255456,0.5905907171449829,0.041110206949192755,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,20,Close_Volume,2,MinMaxScaler,0.2,0.2,16.05595302581787,4761.544997454649,4012.4946574360665,0.5813747959688218,0.042386339824549486,64.0,0.3,adam,32.0,50.0,,
LSTM,30,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,13.022906064987183,4844.453476581855,3999.505468393134,0.5713158969674197,0.04195920006075388,64.0,0.2,adam,32.0,50.0,,
LSTM,30,Close,1,MinMaxScaler,0.2,0.2,13.745831489562988,5076.325743598407,4126.075913059208,0.5292972181691634,0.043249019465372976,64.0,0.2,adam,32.0,50.0,,
LSTM,10,Close,1,RobustScaler,0.2,0.2,4.7948408126831055,5148.98493913634,4216.2123986908655,0.5065077161236826,0.0443669383059262,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,20,Close,1,StandardScaler,0.2,0.2,18.25613570213318,5230.68410645158,4542.628603274739,0.49481950746618086,0.04768277559359692,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,20,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,21.986849308013916,5233.433248358672,4496.7631407363,0.49428834259352117,0.04737626260090251,64.0,0.3,adam,32.0,50.0,,
LSTM,20,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,14.065507411956787,5399.743184212091,4605.912180140393,0.46163626629849774,0.04835718197969159,64.0,0.2,adam,32.0,50.0,,
GRU,10,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,11.937388181686401,5678.5376014253525,4714.6113318042735,0.39978045223436687,0.04941980466261556,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,20,Close,1,MinMaxScaler,0.2,0.2,18.929911613464355,5729.308081441666,5019.727021415432,0.3939144375485657,0.05248059800025632,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,10,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,14.51650333404541,5767.424969642876,5020.097593280245,0.3808426536736995,0.052645519462613,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,20,Close,1,RobustScaler,0.2,0.2,19.18407368659973,5789.434474479997,5156.7141362376715,0.38112652051761986,0.05447993970153379,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,10,Close,1,RobustScaler,0.2,0.2,11.185942649841309,5838.079001422548,4992.357887678816,0.3655797178771212,0.05224793778727927,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,30,Close,1,MinMaxScaler,0.2,0.2,23.370800971984863,6126.799484778295,5422.085660475122,0.3143300224712188,0.0567019303548861,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,30,Close_Volume,2,RobustScaler,0.2,0.2,14.218646049499512,6208.3697201825735,5207.677063231537,0.2959509061440265,0.0543989160200061,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,30,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,24.323211431503296,6216.226094739176,5486.123047133374,0.2941679024219853,0.0575448761986598,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,30,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,11.665501594543457,6690.851098879161,5833.6560967977575,0.18226887261487956,0.061442762587461106,64.0,0.3,adam,32.0,50.0,,
LSTM,30,Close,1,RobustScaler,0.2,0.2,19.841328144073486,6809.449820320631,6058.27776806431,0.15302255071310467,0.06345362910414722,64.0,0.2,adam,32.0,50.0,,
LSTM,30,Close,1,StandardScaler,0.2,0.2,9.256605863571167,6877.63110125816,5678.447844269761,0.1359764994256868,0.05890851689744083,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,20,Close_Volume,2,RobustScaler,0.2,0.2,14.301692008972168,7078.443011029864,6307.609464396479,0.07486509659667695,0.06611052904988624,64.0,0.3,adam,32.0,50.0,,
LSTM,20,Close,1,RobustScaler,0.2,0.2,14.245362758636475,7182.6034110303235,6366.728703490726,0.047437761087604335,0.06656361009982728,64.0,0.2,adam,32.0,50.0,,
LSTM,30,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,12.85394024848938,7320.668361015343,6489.766604018337,0.021075347208200146,0.0680487765359841,64.0,0.2,adam,32.0,50.0,,
LSTM,10,Close,1,StandardScaler,0.2,0.2,4.773918867111206,7488.454462855849,6512.835792610803,-0.04381013629243058,0.06780021482715383,64.0,0.2,adam,32.0,50.0,,
LSTM,10,Close_Volume,2,RobustScaler,0.2,0.2,7.084780693054199,7828.219877874023,6912.956732209258,-0.1406782341262709,0.0721625787270711,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,10,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,11.803207635879517,8023.356979484219,7147.099569425464,-0.19825528871460762,0.07450065450341602,64.0,0.3,adam,32.0,50.0,,
LSTM,30,Close_Volume,2,RobustScaler,0.2,0.2,11.381179571151733,8321.27946350046,7254.030539244669,-0.2648179345925701,0.07548689986926173,64.0,0.2,adam,32.0,50.0,,
LSTM,20,Close_Volume,2,RobustScaler,0.2,0.2,14.282304286956787,8412.662712766585,7439.012143622942,-0.3067621323034271,0.07745446680951437,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,30,Close,1,StandardScaler,0.2,0.2,26.703991174697876,8796.660395845569,8101.50741370745,-0.41345976819591,0.0849435404663958,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,10,Close_Volume,2,StandardScaler,0.2,0.2,14.37703537940979,8807.204763685333,7888.9156218968,-0.44382085548257333,0.08218286900120948,64.0,0.3,adam,32.0,50.0,,
LSTM,20,Close_Volume,2,StandardScaler,0.2,0.2,10.436030149459839,8850.057181691405,7987.160622002725,-0.44617796502510365,0.08342873384485264,64.0,0.2,adam,32.0,50.0,,
LSTM,30,Close_Volume,2,StandardScaler,0.2,0.2,7.034343719482422,8933.277380890151,7607.568761353166,-0.45770431061570194,0.07858094618310948,64.0,0.2,adam,32.0,50.0,,
LSTM,10,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,8.374264001846313,9039.574593645542,8151.832697460165,-0.5210136419438103,0.08519699410392935,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,30,Close_Volume,2,StandardScaler,0.2,0.2,15.109838724136353,9216.096306896445,8352.080561474746,-0.5514643780657129,0.08749219489936377,64.0,0.3,adam,32.0,50.0,,
LSTM,10,Close_Volume,2,StandardScaler,0.2,0.2,5.1375813484191895,10067.704119834265,9143.716341933341,-0.8866789789751768,0.09546275264882204,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,30,Close,1,RobustScaler,0.2,0.2,24.288944721221924,10189.184615019463,9437.77911562901,-0.8963856574873235,0.09921459591813671,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,20,Close_Volume,2,StandardScaler,0.2,0.2,18.332767009735107,10337.444825433276,9492.828544486094,-0.9731313445167324,0.09973084275523272,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,30,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,10.89293384552002,10353.852456353996,9322.216091768152,-0.9581760909550794,0.09705066806719731,64.0,0.3,adam,32.0,50.0,,
LSTM,20,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,15.089701175689697,10959.795735658043,10058.897731770296,-1.2178619316091521,0.10512969254365388,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,20,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,11.376247882843018,11100.896424868399,10251.008927996156,-1.2753367828708146,0.10749172462308235,64.0,0.3,adam,32.0,50.0,,
Bidirectional LSTM,10,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,13.972143650054932,12492.135400718096,11412.024557618051,-1.9047615632166695,0.11929413999096056,64.0,0.3,adam,32.0,50.0,,
LSTM,20,Close,1,StandardScaler,0.2,0.2,13.938826322555542,12518.171802788822,11715.897705593949,-1.893419485052167,0.12293082702013745,64.0,0.2,adam,32.0,50.0,,
LSTM,10,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,10.343820810317993,12615.499903086307,11509.833758247516,-1.9624160547668947,0.12034061026097465,64.0,0.2,adam,32.0,50.0,,
LSTM,30,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,8.507962942123413,13262.438793414385,12328.056501884945,-2.2128805908796303,0.1289508591828528,64.0,0.2,adam,32.0,50.0,,
LSTM,20,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,13.206096887588501,13477.294433889396,12658.26419831706,-2.353783465161378,0.1330274513764,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,20,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,17.584049463272095,14431.314128023434,13456.75560888677,-2.8453984488146875,0.14279160617927886,64.0,0.3,adam,32.0,50.0,,
Random Forest,10,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,0.1822676658630371,26236.064010270777,25222.489303242754,-11.812517959160532,0.2660539965308736,,,,,,100.0,20.0
Random Forest,10,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,0.1861424446105957,26270.353512561214,25259.55056213835,-11.846030757453464,0.266459216586198,,,,,,100.0,20.0
Random Forest,10,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,0.18821334838867188,26291.69108948976,25279.47614593926,-11.866907102861706,0.2666667415877136,,,,,,100.0,20.0
Random Forest,10,Close_Volume,2,RobustScaler,0.2,0.2,0.15678882598876953,26370.570147333252,25332.210425055495,-11.944228259370492,0.2671484787081958,,,,,,100.0,20.0
Random Forest,10,Close_Volume,2,StandardScaler,0.2,0.2,0.14658808708190918,26426.17482859622,25390.238236847625,-11.998873913297203,0.2677746893741427,,,,,,100.0,20.0
Random Forest,10,Close_Volume,2,MinMaxScaler,0.2,0.2,0.13896775245666504,26438.428449053776,25404.757226891223,-12.010931670242725,0.26793709242688113,,,,,,100.0,20.0
Random Forest,30,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,0.3914835453033447,26460.66699631155,25418.265713270233,-11.789376551645072,0.26774579131621684,,,,,,100.0,20.0
Random Forest,30,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,0.42890477180480957,26500.990501319444,25463.649630923657,-11.828385805459646,0.2682462583696349,,,,,,100.0,20.0
